"","dim","Likelihood","time"
"1",9527,-29.1214114818291,2.26959606806437
"2",2386,-29.1231569714286,0.576363786061605
"3",598,-29.0904809011434,0.14597293138504
"4",381,-28.8597238997942,0.0920523007710775
"5",193,-30.2047991935038,0.0460657000541687
"6",97,-31.2999264615701,0.0230404178301493
