"","spacing","L","time.m","time.nm","N","N.nm","Likelihood.m","Likelihood.nm"
"1",0.1,10,4.59781893491745,2.45446363687515,20.1596881836443,22.8497258769619,127.50742995267,147.737406778243
"2",0.1,50,19.8205175161362,9.63182190259298,20.2692399283404,22.8497258769619,130.509324047863,147.737406778243
"3",0.1,100,35.2088706493378,26.1246442834536,20.273661602538,22.8497258769619,130.772020448998,147.737406778243
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA
