"","h0","sigma","beta","SE.h0","SE.sigma","SE.beta","N","SE.N","h0.nomem","sigma.nomem","SE.h0.nomem","SE.sigma.nomem","N.nomem","SE.N.nomem","n","true.tau","time.memory","time.no.memory"
"16",0.172988511574653,-1.20221195525885,5.60290776264818,0.096534709912486,0.0816559808608758,1.11063942969921,14.467941983481,2.58761161328765,0.0836217918489046,-1.27270915584759,0.105268302177285,0.0867142052044795,15.1497506787927,2.84308813856107,10,0,64.9525630474091,21.6894760131836
"17",0.175170030731333,-1.42055671867207,7.5004843716184,0.119324892713394,0.0843779477489115,29.3854698890325,22.6031287751737,3.80924863843199,0.0895312130687002,-1.4198538708993,0.120292409402014,0.0868723885809011,22.8306425412748,3.88120792382628,14,0,78.7727890014648,23.7750570774078
"18",0.189824855451114,-1.30130683925097,5.399706150693,0.110277966168555,0.0819255120375259,0.455871831934776,19.7285967008782,3.26361230085209,0.0296408868828929,-1.28730464918282,0.123555635069882,0.0845511220185678,19.9710761352066,3.34670483744985,13,0,63.8104219436646,23.3323140144348
"19",0.109562119881433,-1.40364285072909,8.21245660666396,0.0978593077513961,0.0806459861511918,223.082342471545,20.9752450993647,3.66306581282067,-0.0844537328317264,-1.3809049507675,0.107988243619815,0.089794598747715,21.2423716366506,3.78042663857998,13,0,81.2793231010437,23.606076002121
"20",0.793291872526868,-1.2131385727164,3.29965775594489,0.154137037461014,0.0709436699740285,0.200650715555464,19.0287156957037,2.65165184712812,-0.164324683439519,-1.25886285153851,0.106781988623414,0.0954145558051124,21.7236306222706,3.58103117506013,14,0,62.6174998283386,25.9702649116516
"21",0.0943984268615832,-1.16986416843283,4.287277490786,0.119854343901113,0.0905275407034606,0.337894405881272,18.6794122591263,2.94148621981096,-0.144984427056759,-1.11813259285735,0.135920249221572,0.0969125896890026,18.7445044315733,2.97574859953943,13,1,69.4311571121216,29.0968108177185
"22",0.313652009489449,-1.30625255995591,4.3114379559879,0.0779816000830672,0.0795224696308643,0.303283470170253,19.4951026739827,3.20270898657686,0.0990935796755123,-1.35328122807381,0.0703770973418535,0.0782046361141779,20.4737191177553,3.50531100140488,13,1,94.5719799995422,31.9183638095856
"23",0.0706160923478371,-1.40744977979146,4.14543145326595,0.115891057488609,0.0920309678641705,0.442550819450417,19.491719512685,3.56871189740851,-0.0855093746595569,-1.39122883749432,0.121720117981889,0.0880041950574434,19.7141838159492,3.63093251274292,12,1,70.6306960582733,20.0307679176331
"24",1.28025742255235,-1.06222380422833,2.97727289949363,0.138534381858555,0.0704793714439153,0.162409062602572,15.7119658419911,1.8428499440063,0.0434039009461398,-1.32832725449283,0.0992268632156851,0.100545491576384,20.3549604403085,3.51964909658354,13,1,69.0087070465088,24.5884530544281
"25",0.317826100503022,-1.32201040506736,5.59249735241051,0.080791741924481,0.0702730033842226,0.873100246766547,19.6406557980611,3.22464134578016,0.18635428083705,-1.30750336448845,0.094145279589544,0.0770212373966026,19.7983526536291,3.28891134659728,13,1,80.9808840751648,22.6111099720001
"26",0.174026136388264,-1.4583047008503,4.89405307775881,0.104233366102425,0.0745725530687781,0.485898844302185,23.0419742981275,3.93037555701424,0.0502592136342929,-1.45529595306236,0.109438616121385,0.0759853553873039,23.357456960236,4.0219772173819,14,1,80.0083601474762,24.9485111236572
"27",0.119736930794228,-1.11654490435873,4.55016630143314,0.11528875454636,0.0837125541172283,0.44219263558907,16.7405904093499,2.64516698984709,-0.15271008167624,-1.06476935269897,0.134676529114291,0.0941741945902234,16.8649511078493,2.71051040338646,12,1,452.112130880356,20.4659450054169
"28",-0.0563891490258185,-1.23708315614749,5.95425941247124,0.106107164084795,0.0981353384079934,1.43808516828573,21.1934601125143,3.43793885067613,-0.2556001087495,-1.24961814088905,0.107851379308342,0.109194619118336,21.8810080491359,3.67122301625841,14,1,80.7845320701599,23.2570447921753
"29",0.861464761246254,-1.32556729902396,3.76231946479023,0.111621170157984,0.0700372488348738,0.191410670192226,18.5556509609791,2.85776530713435,0.00752816387969031,-1.39255852200515,0.08553887035996,0.0925314537876174,21.1216331688571,3.74360657589928,13,1,155.351673126221,35.3962070941925
"30",0.0629576901491731,-1.26534718835232,5.41347013335732,0.093781459212611,0.0813804844941698,0.725521145389485,16.6446306415695,2.98719807407393,-0.0860605368330455,-1.30058252689285,0.0987011757042696,0.087981585890252,17.2597736786157,3.20728576536363,11,1,58.5845258235931,18.6382069587708
"31",1.35858477554238,-1.01326201864558,3.35389079440088,0.130569523188131,0.0688762257561569,0.179497527112529,15.2858167845718,1.67175597995473,0.202869858829287,-1.22806109774809,0.100758085587469,0.147817978366775,18.9868028796067,3.29502314735306,13,1,81.470372915268,27.6236832141876
"32",0.169457550110858,-1.32691844303723,4.99345046874097,0.0846712715910103,0.076895106052573,0.6003059105039,16.9510456646962,3.07991040300702,-0.0215151714551892,-1.33099053370546,0.0933116329963137,0.0849170447217007,17.3859314436126,3.23974713654408,11,1,82.3690750598907,23.96653008461
"33",0.246143162706079,-1.41601133665632,4.943513603566,0.124816086308986,0.0985981351095074,0.527469856198002,22.3621777630345,3.75799386687892,0.0523293453438722,-1.37756762408092,0.122635661897725,0.0986565327411907,22.4491756940689,3.78821406041404,14,1,74.1062829494476,20.1310040950775
"34",0.198215259216316,-1.25819483249391,4.62219765849141,0.0892518885094108,0.0668460514968421,0.546162994880259,20.7700785883456,3.22935611548702,0.0212718001823542,-1.24166150060354,0.0942270397889494,0.070137631850767,21.0394300678489,3.315557668384,14,1,84.032341003418,28.1721019744873
"35",1.39845466097119,-1.01801843348946,2.68681853853737,0.133433123612557,0.0579465445740288,0.129832150153221,15.2675821209068,1.64963786275419,0.166940873206099,-1.47758421890905,0.102443242706631,0.0854903840965756,21.6243698282286,3.86665183966332,13,1,108.746862888336,23.5782830715179
"36",0.0519062304385213,-1.3090724217899,6.12094283480662,0.197561730701354,0.0607193013108952,1.55797057515425,26.3327877795671,3.91621026882813,0.0535254593702586,-1.30337426832088,0.194457506328539,0.0625098003110857,26.2519125807004,3.85631369512703,17,1,100.068993091583,31.5620911121368
"37",0.291445601400137,-1.28412725268064,3.71750242675596,0.117338469749457,0.0934735876664031,0.256765962166216,20.8157467247306,3.30180520903618,0.0334441346137304,-1.25886547634676,0.110147356021434,0.0983182376640225,21.1910440534348,3.4234313383603,14,1,81.9391231536865,28.1946637630463
